stamp,in,out,ent,step,brake,inf,sec,inf/sec
2018-08-24T19:39:19.503Z,34,1,1,1,2,45711,0.109,419367
2018-08-24T19:39:20.729Z,470,97,145,755,4,957944,0.513,1867337
2018-08-24T19:39:21.487Z,295,50,100,48,4,219303,0.207,1059435
2018-08-24T19:39:25.375Z,10012,1518,1518,1518,1,4717957,2.349,2008496
2018-08-24T19:39:25.696Z,9,3,6,12,2,27485,0.080,343563
2018-08-24T19:39:26.329Z,43,2,4,8,2,41240,0.090,458222
2018-08-24T19:39:26.777Z,22,17,17,17,2,72882,0.125,583056
2018-08-24T19:39:27.182Z,17,5,5,5,2,48523,0.106,457764
2018-08-24T19:39:27.566Z,22,1,6,18,3,24566,0.080,307075
2018-08-24T19:39:28.671Z,43,1,2,2,1,31780,0.087,365287
2018-08-24T19:39:29.155Z,52,2,32,120,4,42540,0.093,457419
2018-08-24T19:39:29.564Z,14,2,2,2,1,25937,0.084,308774
2018-08-24T19:39:29.889Z,104,6,6,6,1,43574,0.094,463553
2018-08-24T19:39:30.382Z,1004,92,92,92,1,391072,0.280,1396686
2018-08-24T19:39:33.124Z,10004,966,966,966,1,3881627,2.289,1695774
2018-08-24T19:39:33.519Z,54,2,8,18,2,38026,0.086,442163
2018-08-24T19:39:34.218Z,124,6,23,48,2,70297,0.102,689186
2018-08-24T19:39:35.024Z,1686,92,355,712,2,805040,0.459,1753900
2018-08-24T19:39:39.393Z,17278,966,3682,7366,2,8124535,3.919,2073114
2018-08-24T19:39:41.053Z,9008,1,2999,5998,2,1940932,1.089,1782307
2018-08-24T19:39:41.530Z,57,16,32,64,2,200689,0.156,1286468
2018-08-24T19:39:42.217Z,28,1,2,4,2,671817,0.369,1820642
2018-08-24T19:39:48.108Z,1004,1000,1000,1000,1,9855714,4.234,2327755
2018-08-24T19:39:49.069Z,260,8,50,307,6,467644,0.287,1629422
2018-08-24T19:39:50.198Z,630,18,237,1917,5,807246,0.531,1520237
2018-08-24T19:39:50.651Z,14,1,1,1,1,149030,0.136,1095809
2018-08-24T19:39:51.383Z,347,6,1591,18973,12,752246,0.354,2124989
2018-08-24T19:39:51.783Z,46,6,7,30,2,43149,0.089,484820
2018-08-24T19:39:52.523Z,60,1,1,1,2,80399,0.107,751393
2018-08-24T19:39:54.026Z,201,10,10,10,2,2319812,1.045,2219916
2018-08-24T19:39:54.603Z,171,1,24,70,2,39775,0.096,414323
2018-08-24T19:39:55.067Z,16,1,6,12,2,27609,0.090,306767
2018-08-24T19:39:55.269Z,13,1,2,2,1,34377,0.082,419232
2018-08-24T19:39:56.852Z,46,101,202,404,2,1216679,0.557,2184343
2018-08-24T19:39:57.183Z,29,10,13,26,2,56121,0.097,578567
2018-08-24T19:39:57.738Z,356,1,39,124,4,130114,0.152,856013
2018-08-24T19:39:58.485Z,56,1,1,1,2,61745,0.104,593702
2018-08-24T19:39:59.111Z,309,1,10,82,4,128078,0.142,901958
2018-08-24T19:39:59.508Z,30,2,4,8,4,34771,0.088,395125
2018-08-24T19:40:01.068Z,1546,47,105,330,4,1536767,1.004,1530644
2018-08-24T19:40:05.845Z,100600,117,0,0,1,5369763,4.329,1240416
2018-08-24T19:40:06.178Z,8,8,8,8,1,32398,0.075,431973
2018-08-24T19:40:06.361Z,7,7,7,7,1,26628,0.077,345818
2018-08-24T19:40:06.548Z,10,10,10,10,1,29675,0.081,366358
2018-08-24T19:40:06.747Z,12,12,13,29,2,53914,0.089,605775
2018-08-24T19:40:07.266Z,158,1,1,1,2,71554,0.123,581740
2018-08-24T19:40:07.568Z,8,8,8,8,1,31328,0.082,382049
2018-08-24T19:40:09.378Z,22,1,1,1,1,2902646,1.276,2274801
2018-08-24T19:40:10.325Z,34,1,2,4,1,32920,0.098,335918
2018-08-24T19:40:10.558Z,88,6,6,6,1,27150,0.079,343671
2018-08-24T19:40:10.999Z,29,1,1,1,1,158862,0.141,1126681
2018-08-24T19:40:11.411Z,27,1,1,1,1,114950,0.118,974153
2018-08-24T19:40:11.740Z,106,35,35,35,0,67137,0.098,685071
2018-08-24T19:40:12.304Z,59,16,91,338,3,69020,0.106,651132
2018-08-24T19:40:12.781Z,113,16,27,115,5,54809,0.101,542663
2018-08-24T19:40:13.304Z,102,1,209,218,1,78717,0.110,715609
2018-08-24T19:40:13.732Z,78,4,47,7,1,56475,0.103,548301
2018-08-24T19:40:14.114Z,13,2,2,2,1,22011,0.080,275138
2018-08-24T19:40:14.545Z,13,2,2,2,1,22180,0.078,284359
2018-08-24T19:40:14.820Z,11,2,2,2,1,21201,0.077,275338
2018-08-24T19:40:15.853Z,683,222,443,1776,4,1533526,0.701,2187626
2018-08-24T19:40:16.449Z,59,16,91,338,3,69065,0.110,627864
2018-08-24T19:40:17.537Z,1013,1,1,1,1,1396630,0.630,2216873
2018-08-24T19:40:18.085Z,288,1,12,28,2,40215,0.103,390437
2018-08-24T19:40:18.483Z,9,2,3,6,2,22018,0.080,275225
2018-08-24T19:40:18.677Z,35,101,0,0,0,27622,0.076,363447
2018-08-24T19:40:19.098Z,606,81,81,81,1,92693,0.127,729866
2018-08-24T19:40:19.504Z,608,54,54,54,1,81806,0.120,681717
2018-08-24T19:40:19.954Z,608,46,46,46,1,74881,0.123,608789
2018-08-24T19:40:20.330Z,610,19,19,19,1,54555,0.111,491486
2018-08-24T19:40:21.126Z,769,3,1,1,0,336945,0.236,1427733
2018-08-24T19:40:22.353Z,16,1,1,1,1,1254895,0.661,1898480
2018-08-24T19:40:22.846Z,26,7,21,42,4,65980,0.102,646863
2018-08-24T19:40:23.269Z,57,1,1,1,1,63531,0.103,616806
