stamp,in,out,ent,step,brake,inf,sec,inf/sec
2018-08-23T10:53:05.378Z,34,1,1,1,2,45576,0.105,434057
2018-08-23T10:53:06.883Z,470,97,145,755,4,957807,0.502,1907982
2018-08-23T10:53:08.138Z,295,50,100,48,4,219164,0.206,1063903
2018-08-23T10:53:13.319Z,10012,1518,1518,1518,1,4717884,2.347,2010176
2018-08-23T10:53:13.769Z,9,3,6,12,2,27412,0.078,351436
2018-08-23T10:53:14.440Z,43,2,4,8,2,41168,0.093,442667
2018-08-23T10:53:15.051Z,22,17,17,17,2,72725,0.123,591260
2018-08-23T10:53:15.565Z,17,5,5,5,2,48367,0.107,452028
2018-08-23T10:53:16.219Z,22,1,6,18,3,24492,0.080,306150
2018-08-23T10:53:17.424Z,43,1,2,2,1,31709,0.083,382036
2018-08-23T10:53:18.340Z,52,2,32,120,4,42468,0.094,451787
2018-08-23T10:53:18.910Z,14,2,2,2,1,25861,0.083,311578
2018-08-23T10:53:19.293Z,104,6,6,6,1,43500,0.090,483333
2018-08-23T10:53:19.864Z,1004,92,92,92,1,391000,0.266,1469925
2018-08-23T10:53:22.569Z,10004,966,966,966,1,3881554,2.218,1750024
2018-08-23T10:53:23.397Z,54,2,8,18,2,37953,0.084,451821
2018-08-23T10:53:23.906Z,124,6,23,48,2,70222,0.103,681767
2018-08-23T10:53:24.769Z,1686,92,355,712,2,804969,0.447,1800826
2018-08-23T10:53:29.077Z,17278,966,3682,7366,2,8124464,3.806,2134646
2018-08-23T10:53:30.947Z,9008,1,2999,5998,2,1940859,1.074,1807131
2018-08-23T10:53:31.592Z,57,16,32,64,2,200616,0.154,1302701
2018-08-23T10:53:32.457Z,28,1,2,4,2,671742,0.364,1845445
2018-08-23T10:53:38.494Z,1004,1000,1000,1000,1,9855640,4.183,2356118
2018-08-23T10:53:39.684Z,260,8,50,307,6,467490,0.283,1651908
2018-08-23T10:53:41.152Z,630,18,237,1917,5,807174,0.528,1528739
2018-08-23T10:53:41.793Z,14,1,1,1,1,148958,0.142,1049000
2018-08-23T10:53:42.901Z,347,6,1591,18973,12,752090,0.366,2054891
2018-08-23T10:53:43.794Z,46,6,7,30,2,43079,0.086,500919
2018-08-23T10:53:44.845Z,60,1,1,1,2,80325,0.113,710841
2018-08-23T10:53:46.645Z,201,10,10,10,2,2319655,1.022,2269721
2018-08-23T10:53:47.483Z,171,1,24,70,2,39702,0.095,417916
2018-08-23T10:53:48.300Z,16,1,6,12,2,27538,0.083,331783
2018-08-23T10:53:48.582Z,13,1,2,2,1,34305,0.081,423519
2018-08-23T10:53:50.608Z,46,101,202,404,2,1216607,0.543,2240529
2018-08-23T10:53:51.033Z,29,10,13,26,2,56048,0.091,615912
2018-08-23T10:53:52.299Z,356,1,39,124,4,130042,0.142,915789
2018-08-23T10:53:52.966Z,56,1,1,1,2,61672,0.104,593000
2018-08-23T10:53:53.918Z,309,1,10,82,4,128005,0.147,870782
2018-08-23T10:53:54.504Z,30,2,4,8,4,34698,0.086,403465
2018-08-23T10:53:56.557Z,1546,47,105,330,4,1536671,0.997,1541295
2018-08-23T10:54:01.181Z,100600,117,0,0,1,5369614,4.174,1286443
2018-08-23T10:54:01.591Z,8,8,8,8,1,32338,0.081,399235
2018-08-23T10:54:01.862Z,7,7,7,7,1,26557,0.075,354093
2018-08-23T10:54:02.131Z,10,10,10,10,1,29603,0.080,370038
2018-08-23T10:54:02.418Z,12,12,13,29,2,53839,0.092,585207
2018-08-23T10:54:03.226Z,158,1,1,1,2,71398,0.122,585230
2018-08-23T10:54:03.628Z,8,8,8,8,1,31257,0.085,367729
2018-08-23T10:54:05.617Z,22,1,1,1,1,2902573,1.262,2299979
2018-08-23T10:54:06.981Z,34,1,2,4,1,32868,0.095,345979
2018-08-23T10:54:07.217Z,88,6,6,6,1,26698,0.080,333725
2018-08-23T10:54:08.303Z,29,1,1,1,1,158809,0.137,1159190
2018-08-23T10:54:08.906Z,27,1,1,1,1,114897,0.115,999104
2018-08-23T10:54:09.333Z,106,35,35,35,0,66684,0.098,680449
