stamp,in,out,ent,step,brake,inf,sec,inf/sec
2018-07-09T19:59:41.556Z,34,1,1,1,2,44656,0.038,1175158
2018-07-09T19:59:41.972Z,470,97,145,755,4,955146,0.191,5000764
2018-07-09T19:59:42.293Z,295,50,100,48,4,217890,0.076,2866974
2018-07-09T19:59:43.567Z,10012,1518,1518,1518,1,4715889,0.861,5477223
2018-07-09T19:59:43.753Z,9,3,6,12,2,27111,0.029,934862
2018-07-09T19:59:43.866Z,43,2,4,8,2,40850,0.033,1237879
2018-07-09T19:59:44.066Z,22,17,17,17,2,71737,0.042,1708024
2018-07-09T19:59:44.261Z,17,5,5,5,2,47498,0.040,1187450
2018-07-09T19:59:44.371Z,22,1,6,18,3,24206,0.031,780839
2018-07-09T19:59:45.211Z,43,1,2,2,1,31423,0.033,952212
2018-07-09T19:59:45.428Z,52,2,32,120,4,42144,0.036,1170667
2018-07-09T19:59:45.617Z,14,2,2,2,1,25564,0.031,824645
2018-07-09T19:59:45.703Z,104,6,6,6,1,43165,0.033,1308030
2018-07-09T19:59:45.859Z,1004,92,92,92,1,389866,0.100,3898660
2018-07-09T19:59:46.989Z,10004,966,966,966,1,3872524,0.949,4080636
2018-07-09T19:59:47.173Z,54,2,8,18,2,37633,0.031,1213968
2018-07-09T19:59:47.363Z,124,6,23,48,2,69835,0.037,1887432
2018-07-09T19:59:47.678Z,1686,92,355,712,2,802977,0.152,5282743
2018-07-09T19:59:49.214Z,17278,966,3682,7366,2,8106686,1.353,5991638
2018-07-09T19:59:49.843Z,9008,1,2999,5998,2,1935585,0.378,5120595
2018-07-09T19:59:50.059Z,57,16,32,64,2,200252,0.053,3778340
2018-07-09T19:59:50.252Z,28,1,2,4,2,671449,0.135,4973696
2018-07-09T19:59:52.551Z,1004,1000,1000,1000,1,9855366,1.319,7471847
2018-07-09T19:59:52.785Z,260,8,50,307,6,465967,0.103,4523951
2018-07-09T19:59:53.204Z,630,18,237,1917,5,804766,0.189,4258021
2018-07-09T19:59:53.408Z,14,1,1,1,1,148661,0.047,3163000
2018-07-09T19:59:53.659Z,347,6,1591,18973,12,751128,0.125,6009024
2018-07-09T19:59:53.849Z,46,6,7,30,2,42760,0.032,1336250
2018-07-09T19:59:54.093Z,60,1,1,1,2,79827,0.040,1995675
2018-07-09T19:59:54.697Z,201,10,10,10,2,2313565,0.385,6009260
2018-07-09T19:59:54.938Z,171,1,24,70,2,39395,0.033,1193788
2018-07-09T19:59:55.067Z,16,1,6,12,2,27264,0.032,852000
2018-07-09T19:59:55.160Z,13,1,2,2,1,34005,0.030,1133500
2018-07-09T19:59:55.741Z,46,101,202,404,2,1216304,0.186,6539269
2018-07-09T19:59:55.929Z,29,10,13,26,2,55737,0.033,1689000
2018-07-09T19:59:56.155Z,356,1,39,124,4,129539,0.049,2643653
2018-07-09T19:59:56.367Z,56,1,1,1,2,61245,0.035,1749857
2018-07-09T19:59:56.613Z,309,1,10,82,4,127431,0.050,2548620
2018-07-09T19:59:56.800Z,30,2,4,8,4,34379,0.031,1109000
2018-07-09T19:59:57.287Z,1546,47,105,330,4,1534762,0.274,5601321
2018-07-09T19:59:58.852Z,100600,117,0,0,1,5367387,1.336,4017505
2018-07-09T19:59:58.918Z,8,8,8,8,1,31967,0.029,1102310
2018-07-09T19:59:58.974Z,7,7,7,7,1,26202,0.027,970444
2018-07-09T19:59:59.030Z,10,10,10,10,1,29235,0.027,1082778
2018-07-09T19:59:59.089Z,12,12,13,29,2,53482,0.032,1671313
2018-07-09T19:59:59.307Z,158,1,1,1,2,70540,0.042,1679524
2018-07-09T19:59:59.481Z,8,8,8,8,1,30909,0.029,1065828
2018-07-09T20:00:00.056Z,22,1,1,1,1,2902289,0.445,6521998
2018-07-09T20:00:00.342Z,34,1,2,4,1,32592,0.033,987636
2018-07-09T20:00:00.504Z,88,6,6,6,1,26431,0.031,852613
2018-07-09T20:00:00.711Z,29,1,1,1,1,158500,0.053,2990566
2018-07-09T20:00:00.907Z,27,1,1,1,1,114603,0.043,2665186
2018-07-09T20:00:01.079Z,106,35,35,35,0,66435,0.037,1795541
2018-07-09T20:00:01.312Z,59,16,91,338,3,68643,0.038,1806395
2018-07-09T20:00:01.524Z,113,16,27,115,5,54429,0.036,1511917
2018-07-09T20:00:01.763Z,102,1,209,218,1,77957,0.044,1771750
2018-07-09T20:00:01.958Z,78,4,47,7,1,56107,0.037,1516405
2018-07-09T20:00:02.145Z,13,2,2,2,1,21677,0.030,722567
2018-07-09T20:00:02.327Z,13,2,2,2,1,21848,0.029,753379
2018-07-09T20:00:02.411Z,11,2,2,2,1,20873,0.030,695767
2018-07-09T20:00:02.828Z,683,222,443,1776,4,1532098,0.252,6079754
2018-07-09T20:00:03.088Z,59,16,91,338,3,68687,0.038,1807553
2018-07-09T20:00:03.528Z,1013,1,1,1,1,1396295,0.240,5817896
2018-07-09T20:00:03.746Z,288,1,12,28,2,39874,0.035,1139257
2018-07-09T20:00:03.934Z,9,2,3,6,2,21683,0.030,722767
2018-07-09T20:00:03.999Z,35,101,0,0,0,27304,0.031,880774
2018-07-09T20:00:04.123Z,606,81,81,81,1,92389,0.044,2099750
2018-07-09T20:00:04.238Z,608,54,54,54,1,81499,0.042,1940452
2018-07-09T20:00:04.348Z,608,46,46,46,1,74576,0.039,1912205
2018-07-09T20:00:04.460Z,610,19,19,19,1,54248,0.039,1390974
2018-07-09T20:00:04.681Z,769,3,1,1,0,336606,0.082,4104951
2018-07-09T20:00:05.031Z,16,1,1,1,1,1254563,0.239,5249218
2018-07-09T20:00:05.252Z,26,7,21,42,4,65559,0.040,1638975
2018-07-09T20:00:05.448Z,57,1,1,1,1,63139,0.038,1661553
2018-07-09T20:00:05.644Z,60,2,24,88,5,49264,0.036,1368444
2018-07-09T20:00:05.809Z,5,5,5,5,1,24759,0.029,853759
2018-07-09T20:00:05.894Z,20,1,7,25,5,26565,0.030,885500
2018-07-09T20:00:06.002Z,97,1,9,43,3,40135,0.037,1084730
2018-07-09T20:00:06.173Z,0,0,0,0,1,11890,0.025,475600
