stamp,in,out,ent,step,brake,inf,sec,inf/sec
2018-08-19T21:02:37.578Z,34,1,1,1,2,45347,0.035,1295629
2018-08-19T21:02:38.607Z,470,97,145,755,4,957580,0.177,5410056
2018-08-19T21:02:39.565Z,295,50,100,48,4,218938,0.079,2771367
2018-08-19T21:02:42.175Z,10012,1518,1518,1518,1,4717814,0.767,6150996
2018-08-19T21:02:42.476Z,9,3,6,12,2,27343,0.031,882032
2018-08-19T21:02:42.958Z,43,2,4,8,2,41100,0.044,934091
2018-08-19T21:02:43.424Z,22,17,17,17,2,72518,0.054,1342926
2018-08-19T21:02:43.771Z,17,5,5,5,2,48156,0.048,1003250
2018-08-19T21:02:44.259Z,22,1,6,18,3,24424,0.037,660108
2018-08-19T21:02:45.333Z,43,1,2,2,1,31639,0.040,790975
2018-08-19T21:02:45.911Z,52,2,32,120,4,42399,0.040,1059975
2018-08-19T21:02:46.356Z,14,2,2,2,1,25789,0.037,697000
2018-08-19T21:02:46.602Z,104,6,6,6,1,43430,0.040,1085750
2018-08-19T21:02:46.950Z,1004,92,92,92,1,390930,0.102,3832647
2018-08-19T21:02:48.173Z,10004,966,966,966,1,3881485,0.798,4864016
2018-08-19T21:02:48.522Z,54,2,8,18,2,37883,0.045,841844
2018-08-19T21:02:48.882Z,124,6,23,48,2,70155,0.052,1349135
2018-08-19T21:02:49.375Z,1686,92,355,712,2,804899,0.157,5126745
2018-08-19T21:02:51.244Z,17278,966,3682,7366,2,8124395,1.194,6804351
2018-08-19T21:02:52.268Z,9008,1,2999,5998,2,1940788,0.348,5576977
2018-08-19T21:02:52.731Z,57,16,32,64,2,200547,0.057,3518368
2018-08-19T21:02:53.280Z,28,1,2,4,2,671674,0.138,4867203
2018-08-19T21:02:55.813Z,1004,1000,1000,1000,1,9855570,1.179,8359262
2018-08-19T21:02:56.687Z,260,8,50,307,6,467281,0.105,4450295
2018-08-19T21:02:57.643Z,630,18,237,1917,5,807105,0.185,4362730
2018-08-19T21:02:58.089Z,14,1,1,1,1,148888,0.046,3236696
2018-08-19T21:02:58.810Z,347,6,1591,18973,12,751883,0.120,6265692
2018-08-19T21:02:59.262Z,46,6,7,30,2,43010,0.043,1000233
2018-08-19T21:02:59.869Z,60,1,1,1,2,80256,0.053,1514264
2018-08-19T21:03:00.706Z,201,10,10,10,2,2319467,0.344,6742637
2018-08-19T21:03:01.321Z,171,1,24,70,2,39654,0.042,944143
2018-08-19T21:03:01.928Z,16,1,6,12,2,27485,0.041,670366
2018-08-19T21:03:02.111Z,13,1,2,2,1,34258,0.034,1007588
2018-08-19T21:03:03.010Z,46,101,202,404,2,1216557,0.164,7418030
2018-08-19T21:03:03.304Z,29,10,13,26,2,55999,0.034,1647029
2018-08-19T21:03:03.930Z,356,1,39,124,4,129993,0.064,2031141
2018-08-19T21:03:04.427Z,56,1,1,1,2,61624,0.046,1339652
2018-08-19T21:03:05.087Z,309,1,10,82,4,127957,0.060,2132617
2018-08-19T21:03:05.531Z,30,2,4,8,4,34650,0.036,962500
2018-08-19T21:03:06.531Z,1546,47,105,330,4,1536623,0.259,5932907
2018-08-19T21:03:07.990Z,100600,117,0,0,1,5370580,1.231,4362778
2018-08-19T21:03:08.323Z,8,8,8,8,1,32255,0.036,895972
2018-08-19T21:03:08.509Z,7,7,7,7,1,26486,0.030,882867
2018-08-19T21:03:08.701Z,10,10,10,10,1,29534,0.036,820389
2018-08-19T21:03:08.891Z,12,12,13,29,2,53772,0.038,1415053
2018-08-19T21:03:09.497Z,158,1,1,1,2,71192,0.055,1294400
2018-08-19T21:03:09.801Z,8,8,8,8,1,31185,0.036,866250
2018-08-19T21:03:10.549Z,22,1,1,1,1,2902484,0.385,7538919
2018-08-19T21:03:11.605Z,34,1,2,4,1,32779,0.046,712587
2018-08-19T21:03:11.764Z,88,6,6,6,1,26688,0.033,808727
2018-08-19T21:03:12.206Z,29,1,1,1,1,158718,0.060,2645300
2018-08-19T21:03:12.663Z,27,1,1,1,1,114807,0.054,2126056
2018-08-19T21:03:12.960Z,106,35,35,35,0,66679,0.041,1626317
2018-08-19T21:03:13.622Z,59,16,91,338,3,68880,0.052,1324615
2018-08-19T21:03:14.039Z,113,16,27,115,5,54666,0.051,1071882
2018-08-19T21:03:14.660Z,102,1,209,218,1,78576,0.053,1482566
2018-08-19T21:03:15.134Z,78,4,47,7,1,56332,0.048,1173583
2018-08-19T21:03:15.558Z,13,2,2,2,1,21870,0.038,575526
2018-08-19T21:03:16.000Z,13,2,2,2,1,22038,0.043,512512
2018-08-19T21:03:16.336Z,11,2,2,2,1,21059,0.032,658094
2018-08-19T21:03:16.989Z,683,222,443,1776,4,1533383,0.223,6876157
2018-08-19T21:03:17.648Z,59,16,91,338,3,68924,0.049,1406612
2018-08-19T21:03:18.437Z,1013,1,1,1,1,1396485,0.212,6587193
2018-08-19T21:03:19.052Z,288,1,12,28,2,40073,0.042,954119
2018-08-19T21:03:19.514Z,9,2,3,6,2,21879,0.031,705774
2018-08-19T21:03:19.717Z,35,101,0,0,0,27480,0.032,858750
2018-08-19T21:03:20.258Z,606,81,81,81,1,92553,0.062,1492790
2018-08-19T21:03:20.572Z,608,54,54,54,1,81665,0.056,1458304
2018-08-19T21:03:20.892Z,608,46,46,46,1,74739,0.056,1334625
2018-08-19T21:03:21.194Z,610,19,19,19,1,54410,0.051,1066863
2018-08-19T21:03:22.085Z,769,3,1,1,0,336811,0.099,3402131
2018-08-19T21:03:22.743Z,16,1,1,1,1,1254753,0.224,5601576
2018-08-19T21:03:23.342Z,26,7,21,42,4,65838,0.051,1290941
2018-08-19T21:03:23.794Z,57,1,1,1,1,63388,0.046,1378000
2018-08-19T21:03:24.256Z,60,2,24,88,5,49523,0.047,1053681
2018-08-19T21:03:24.549Z,5,5,5,5,1,24971,0.034,734441
2018-08-19T21:03:24.888Z,20,1,7,25,5,26780,0.036,743889
2018-08-19T21:03:25.372Z,97,1,9,43,3,40728,0.043,947163
2018-08-19T21:03:25.517Z,0,0,0,0,1,12066,0.027,446889
