stamp,in,out,ent,step,brake,inf,sec,inf/sec
2018-08-26T09:35:18.420Z,34,1,1,1,2,45720,0.106,431321
2018-08-26T09:35:19.676Z,470,97,145,755,4,957954,0.514,1863724
2018-08-26T09:35:20.441Z,295,50,100,48,4,219313,0.218,1006023
2018-08-26T09:35:24.153Z,10012,1518,1518,1518,1,4717968,2.367,1993227
2018-08-26T09:35:24.480Z,9,3,6,12,2,27496,0.079,348051
2018-08-26T09:35:25.090Z,43,2,4,8,2,41252,0.092,448391
2018-08-26T09:35:25.525Z,22,17,17,17,2,72893,0.125,583144
2018-08-26T09:35:25.932Z,17,5,5,5,2,48534,0.107,453589
2018-08-26T09:35:26.310Z,22,1,6,18,3,24576,0.083,296096
2018-08-26T09:35:26.598Z,14,2,2,2,1,25946,0.080,324325
2018-08-26T09:35:26.908Z,104,6,6,6,1,43583,0.097,449309
2018-08-26T09:35:27.414Z,1004,92,92,92,1,391081,0.278,1406766
2018-08-26T09:35:30.106Z,10004,966,966,966,1,3881637,2.294,1692082
2018-08-26T09:35:30.549Z,54,2,8,18,2,38033,0.092,413402
2018-08-26T09:35:30.969Z,124,6,23,48,2,70308,0.109,645028
2018-08-26T09:35:31.752Z,1686,92,355,712,2,805049,0.453,1777150
2018-08-26T09:35:36.117Z,17278,966,3682,7366,2,8124547,3.931,2066789
2018-08-26T09:35:37.389Z,43,1,2,2,1,31791,0.086,369663
2018-08-26T09:35:37.881Z,52,2,32,120,4,42551,0.094,452670
2018-08-26T09:35:38.253Z,73,24,0,0,1,16980,0.076,223421
2018-08-26T09:35:38.591Z,31,4,4,4,2,15887,0.070,226957
2018-08-26T09:35:40.045Z,9008,1,2999,5998,2,1940939,1.094,1774167
2018-08-26T09:35:40.538Z,57,16,32,64,2,200700,0.155,1294839
2018-08-26T09:35:41.210Z,28,1,2,4,2,671827,0.370,1815749
2018-08-26T09:35:47.068Z,1004,1000,1000,1000,1,9855723,4.245,2321725
2018-08-26T09:35:47.845Z,260,8,50,307,6,467655,0.281,1664253
2018-08-26T09:35:49.047Z,630,18,237,1917,5,807258,0.567,1423735
2018-08-26T09:35:49.506Z,14,1,1,1,1,149039,0.139,1072223
2018-08-26T09:35:50.242Z,347,6,1591,18973,12,752258,0.354,2125023
2018-08-26T09:35:50.654Z,46,6,7,30,2,43161,0.095,454326
2018-08-26T09:35:51.364Z,60,1,1,1,2,80406,0.113,711558
2018-08-26T09:35:52.870Z,201,10,10,10,2,2319820,1.061,2186447
2018-08-26T09:35:53.368Z,171,1,24,70,2,39786,0.095,418800
2018-08-26T09:35:53.819Z,16,1,6,12,2,27618,0.086,321140
2018-08-26T09:35:54.018Z,13,1,2,2,1,34388,0.081,424543
2018-08-26T09:35:55.594Z,46,101,202,404,2,1216690,0.561,2168788
2018-08-26T09:35:55.923Z,29,10,13,26,2,56131,0.090,623678
2018-08-26T09:35:56.467Z,356,1,39,124,4,130124,0.149,873315
2018-08-26T09:35:57.127Z,56,1,1,1,2,61756,0.105,588152
2018-08-26T09:35:57.739Z,309,1,10,82,4,128088,0.142,902028
2018-08-26T09:35:58.129Z,30,2,4,8,4,34782,0.085,409200
2018-08-26T09:35:59.613Z,1546,47,105,330,4,1536756,1.001,1535221
2018-08-26T09:36:04.329Z,100600,117,0,0,1,5370820,4.268,1258393
2018-08-26T09:36:04.650Z,8,8,8,8,1,32404,0.083,390410
2018-08-26T09:36:04.838Z,7,7,7,7,1,26637,0.080,332963
2018-08-26T09:36:05.024Z,10,10,10,10,1,29686,0.079,375772
2018-08-26T09:36:05.224Z,12,12,13,29,2,53924,0.093,579828
2018-08-26T09:36:05.755Z,158,1,1,1,2,71566,0.125,572528
2018-08-26T09:36:06.065Z,8,8,8,8,1,31339,0.083,377578
2018-08-26T09:36:07.659Z,22,1,1,1,1,2902658,1.280,2267702
2018-08-26T09:36:08.442Z,34,1,2,4,1,32946,0.098,336184
2018-08-26T09:36:08.669Z,88,6,6,6,1,26900,0.078,344872
2018-08-26T09:36:09.108Z,29,1,1,1,1,158892,0.139,1143108
2018-08-26T09:36:09.525Z,27,1,1,1,1,114981,0.120,958175
2018-08-26T09:36:09.851Z,106,35,35,35,0,66889,0.100,668890
2018-08-26T09:36:10.428Z,59,16,91,338,3,69031,0.106,651236
2018-08-26T09:36:10.915Z,113,16,27,115,5,54818,0.107,512318
2018-08-26T09:36:11.435Z,102,1,209,218,1,78727,0.113,696699
2018-08-26T09:36:11.842Z,78,4,47,7,1,56487,0.100,564870
2018-08-26T09:36:12.237Z,13,2,2,2,1,22022,0.077,286000
2018-08-26T09:36:12.623Z,13,2,2,2,1,22189,0.076,291961
2018-08-26T09:36:12.898Z,11,2,2,2,1,21210,0.078,271923
2018-08-26T09:36:13.957Z,683,222,443,1776,4,1533538,0.714,2147812
2018-08-26T09:36:14.580Z,59,16,91,338,3,69074,0.107,645551
2018-08-26T09:36:15.703Z,1013,1,1,1,1,1396639,0.633,2206381
2018-08-26T09:36:16.269Z,288,1,12,28,2,40224,0.099,406303
2018-08-26T09:36:16.657Z,9,2,3,6,2,22029,0.078,282423
2018-08-26T09:36:16.885Z,35,101,0,0,0,27633,0.078,354269
2018-08-26T09:36:17.308Z,606,81,81,81,1,92703,0.129,718628
2018-08-26T09:36:17.703Z,608,54,54,54,1,81818,0.123,665187
2018-08-26T09:36:18.111Z,608,46,46,46,1,74892,0.121,618942
2018-08-26T09:36:18.500Z,610,19,19,19,1,54564,0.109,500587
2018-08-26T09:36:19.298Z,769,3,1,1,0,336960,0.233,1446180
2018-08-26T09:36:20.320Z,16,1,1,1,1,1254905,0.662,1895627
2018-08-26T09:36:20.833Z,26,7,21,42,4,65989,0.108,611009
2018-08-26T09:36:21.467Z,57,1,1,1,1,63540,0.103,616893
2018-08-26T09:36:21.871Z,60,2,24,88,5,49674,0.097,512103
2018-08-26T09:36:22.172Z,5,5,5,5,1,25123,0.076,330566
2018-08-26T09:36:22.465Z,20,1,7,25,5,26930,0.079,340886
2018-08-26T09:36:22.867Z,97,1,9,43,3,41102,0.116,354328
2018-08-26T09:36:23.063Z,0,0,0,0,1,12311,0.064,192359
