stamp,in,out,ent,step,brake,inf,sec,inf/sec
2018-08-30T10:00:57.380Z,34,1,1,1,2,45721,0.108,423343
2018-08-30T10:00:58.755Z,470,97,145,755,4,957954,0.519,1845769
2018-08-30T10:00:59.554Z,295,50,100,48,4,219312,0.214,1024822
2018-08-30T10:01:03.278Z,10012,1518,1518,1518,1,4717987,2.383,1979852
2018-08-30T10:01:03.605Z,9,3,6,12,2,27515,0.080,343938
2018-08-30T10:01:04.081Z,43,2,4,8,2,41271,0.098,421133
2018-08-30T10:01:04.511Z,22,17,17,17,2,72912,0.125,583296
2018-08-30T10:01:04.910Z,17,5,5,5,2,48555,0.110,441409
2018-08-30T10:01:05.253Z,22,1,6,18,3,24596,0.081,303654
2018-08-30T10:01:05.529Z,14,2,2,2,1,25963,0.081,320531
2018-08-30T10:01:05.889Z,104,6,6,6,1,43602,0.095,458968
2018-08-30T10:01:06.384Z,1004,92,92,92,1,391103,0.279,1401803
2018-08-30T10:01:09.083Z,10004,966,966,966,1,3881656,2.296,1690617
2018-08-30T10:01:09.475Z,54,2,8,18,2,38054,0.086,442488
2018-08-30T10:01:09.884Z,124,6,23,48,2,70326,0.106,663453
2018-08-30T10:01:10.671Z,1686,92,355,712,2,805049,0.447,1801004
2018-08-30T10:01:15.085Z,17278,966,3682,7366,2,8124546,3.954,2054766
2018-08-30T10:01:16.597Z,43,1,2,2,1,31792,0.088,361273
2018-08-30T10:01:17.073Z,52,2,32,120,4,42549,0.095,447884
2018-08-30T10:01:17.716Z,73,24,0,0,1,16981,0.076,223434
2018-08-30T10:01:17.990Z,31,4,4,4,2,15892,0.074,214757
2018-08-30T10:01:19.449Z,9008,1,2999,5998,2,1940940,1.099,1766096
2018-08-30T10:01:19.934Z,57,16,32,64,2,200698,0.156,1286526
2018-08-30T10:01:20.597Z,28,1,2,4,2,671827,0.367,1830591
2018-08-30T10:01:26.553Z,1004,1000,1000,1000,1,9855722,4.340,2270904
2018-08-30T10:01:27.657Z,260,8,50,307,6,467654,0.280,1670193
2018-08-30T10:01:28.775Z,630,18,237,1917,5,807256,0.528,1528894
2018-08-30T10:01:29.316Z,14,1,1,1,1,149038,0.136,1095868
2018-08-30T10:01:30.039Z,347,6,1591,18973,12,752257,0.357,2107162
2018-08-30T10:01:30.441Z,46,6,7,30,2,43161,0.090,479567
2018-08-30T10:01:30.943Z,60,1,1,1,2,80407,0.113,711566
